BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,TX_SUCCEEDED,TX_CALLER_ADDRESS,ACTION,DELEGATOR_ADDRESS,VALIDATOR_ADDRESS,AMOUNT,CURRENCY,REDELEGATE_SOURCE_VALIDATOR_ADDRESS,COMPLETION_TIME,_MSG_GROUP
4785524,11/15/2022,7B3394C62B291E75E1FD1FF543AB843B33B05158471D9583BDD416CAE575C21E,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1800000,uaxl,null,null,0
4791212,11/15/2022,3FC47157C35334DD9E25A2BED870B246AEE2EF396CA0C1298C4D06AC7C3E548A,TRUE,axelar19lywlwj2zk8d7f5zhmykk7rfezqz0hwme775fq,delegate,axelar19lywlwj2zk8d7f5zhmykk7rfezqz0hwme775fq,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1500000,uaxl,null,null,0
4791767,11/16/2022,09AC75772A02B554D0BA6073D4ABE7E7EFB412DFC21C2020A132BFEAB007D56C,TRUE,axelar1yjjssyvtmu856rtxjdtulart36sk7xc8qu63mc,delegate,axelar1yjjssyvtmu856rtxjdtulart36sk7xc8qu63mc,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000000,uaxl,null,null,0
4795857,11/16/2022,9CDCC669D3EB8B44C540D9C54CF8D9B23455BC47C59FC96DE24D4B8B4773569D,TRUE,axelar1hj649a9zmjk9ezzk0m8etycsvg0r62j5edn3p9,undelegate,axelar1hj649a9zmjk9ezzk0m8etycsvg0r62j5edn3p9,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,53230000,uaxl,null,08:40.0,0
4798001,11/16/2022,9F3AE281E0676CCA91F6C825E60D6C8BE361F7E9A0349492084E572DA0AD996B,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,800000,uaxl,null,null,0
4798056,11/16/2022,8F03726694FBF5CB75320BE0812FCAD9B00AA1B15AF8622CF0245D1BB9E9765B,TRUE,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,delegate,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,200000,uaxl,null,null,0
4811772,11/17/2022,2BDB04D898F66AB6871F571D31E4066CD645112A92A3DAB37C02811712E840CC,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,8797,uaxl,null,null,0
4827425,11/18/2022,300B3F0E7E98FFB76BB6AD4698004C78F937448B241DD848586E45754F53B56C,TRUE,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,delegate,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,200000,uaxl,null,null,0
4835828,11/19/2022,E5DE3FEB05B11EC6C88540863F863FE267A96877830FE3043C3E78EB5591C01D,TRUE,axelar1hex95tjy9np4764w67mkc4nt7etlccsm3evqgj,delegate,axelar1hex95tjy9np4764w67mkc4nt7etlccsm3evqgj,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000,uaxl,null,null,0
4837912,11/19/2022,4C677723B41087F79A38EBFCB5CAD58AF22A345157A0A27861CA19524226D2D2,TRUE,axelar1wqadhahhquw0nwqczefa5katv7pc4hg8nj06mz,delegate,axelar1wqadhahhquw0nwqczefa5katv7pc4hg8nj06mz,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000,uaxl,null,null,0
4839484,11/19/2022,214922F0E4D16D81908C81239779AFF25D0855FAA3B6E12CECB7AD71E8888D7A,TRUE,axelar1m56cfujc9jmfkfqfs5wwg3mq5spfzjanhdejqv,delegate,axelar1m56cfujc9jmfkfqfs5wwg3mq5spfzjanhdejqv,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,3685326,uaxl,null,null,0
4840611,11/19/2022,2CAD3391E0C875022AA1CB74E3FC132AF11103CE47FB328F44FB879AD898BB92,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,19225,uaxl,null,null,0
4855744,11/20/2022,D6AE5A6FE0FFBDA4E7D9176A7B20A3395C3E74E1B78BDBFC6338A88869650D58,TRUE,axelar1lslznugkk0z8hhraqh20xjljn4hgnz5svfsqjt,delegate,axelar1lslznugkk0z8hhraqh20xjljn4hgnz5svfsqjt,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,2421425,uaxl,null,null,0
4856645,11/20/2022,CA5ECA4CC5742CC79B3DED38FA66966110C738EB2C0D1D11EB25A393B9E2E7D7,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,10641,uaxl,null,null,0
4857330,11/20/2022,7DA9A1237AB1E083E31CE500362943A81A695E2E44807800819B0ED8704C02FA,TRUE,axelar1af77fznymmq6nd6d4adgxw5h5h6p9awu0uz80g,delegate,axelar1af77fznymmq6nd6d4adgxw5h5h6p9awu0uz80g,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,10000000,uaxl,null,null,0
4872146,11/21/2022,449CC04F3BFE16FF3684894878BAB6A6D5DCB8A2EE4DDCDCDD442A944DEE0A50,TRUE,axelar1dqrwjf43qrqx8cy7p90p9fvk3fc2qm9vlsjzwn,delegate,axelar1dqrwjf43qrqx8cy7p90p9fvk3fc2qm9vlsjzwn,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,16079134,uaxl,null,null,0
4876263,11/21/2022,00972BDCAC174E3673247268D5C2E468027D4EB5D460EBD786EBFF9426CACFA3,TRUE,axelar105x4vjqqr5nslysfppsewjzt0w5ef62dlmusy2,redelegate,axelar105x4vjqqr5nslysfppsewjzt0w5ef62dlmusy2,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,20000000,uaxl,axelarvaloper1szyhj4z7h6mgvd5p6dqzmywvltuvmzkjptdcej,0001-01-01 00:00:00.000,0
4881471,11/22/2022,79295BC4203250731739E9E97C8F5DA1FC5845D91F4286BF0BE4CA5CBB84FA63,TRUE,axelar1rm7xgpnej0rywjp9322ehv6avq34pxr5rq7hqr,delegate,axelar1rm7xgpnej0rywjp9322ehv6avq34pxr5rq7hqr,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,792996940,uaxl,null,null,0
4882496,11/22/2022,17CF00B8A6B4C38C3D68DB7E56D58519E83FD62C381DDE1609A194CBB355A9CC,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,17934,uaxl,null,null,0
4888888,11/22/2022,A0D59C5067DB6B9E8BD14E28E2732E3727DBAB4E46C691A4508D92617625B0CA,TRUE,axelar1e7ekflqxr978uqefnguh7ayd0c23mgxsetg20g,delegate,axelar1e7ekflqxr978uqefnguh7ayd0c23mgxsetg20g,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,20000000,uaxl,null,null,0
4891310,11/22/2022,B67D1D3CCE418CD858F36639FD12B17A9A71C973B720FB6CBB7CDCE2E3DEB8A0,TRUE,axelar1mltdev04e96xhn0dmmqrx407f2y2pwedjuvmy8,delegate,axelar1mltdev04e96xhn0dmmqrx407f2y2pwedjuvmy8,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,38504491,uaxl,null,null,0
4896915,11/23/2022,EBE70FD323441B22CF14F5F10AF21D5DA6D0B1C08051D8FBB5BB3EF4FC454805,TRUE,axelar1t49x4vfwxmz7ejqjafx8w3r7nw09uwzh6al7ga,delegate,axelar1t49x4vfwxmz7ejqjafx8w3r7nw09uwzh6al7ga,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,204256494,uaxl,null,null,0
4903030,11/23/2022,791F94C372B426D5E07BCD757D3E5DF2A034AAFA233EDADD2FE17B52D950F2AB,TRUE,axelar1uw6x300jhffzjtlq2lwfxncun5v86ur4t6ul42,delegate,axelar1uw6x300jhffzjtlq2lwfxncun5v86ur4t6ul42,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,17915,uaxl,null,null,0
4918397,11/24/2022,0BC84B8BEB25232D8A842A8D27DA010B0A2AB35D22148C077FBD9724CBA565BE,TRUE,axelar1cdf2dy9p9ny3cuqcesteu7sdu9q0suwr62c8x9,delegate,axelar1cdf2dy9p9ny3cuqcesteu7sdu9q0suwr62c8x9,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,800000,uaxl,null,null,0
4925077,11/25/2022,4C136EC77FB30ED712A3204083028C496B932C8F3D92889B1611BAF0749904D3,TRUE,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,delegate,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,100000,uaxl,null,null,0
4926866,11/25/2022,14764C348BCF6BEAE24E22846C1D3C93A09C3C56720AF43C0C7CA8C17839849C,TRUE,axelar15sj9rxtxax8t2fez503zujs74yz6pv7v36kyj0,delegate,axelar15sj9rxtxax8t2fez503zujs74yz6pv7v36kyj0,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000000,uaxl,null,null,0
4936627,11/26/2022,1EE339DD1498B3ACCDBFC7D4DF72A9A8D8B980E8CBB5B077E41C62505035F0E9,TRUE,axelar16f80m4tzxfrv8tae3tg94vclkjavt6zm598mrf,delegate,axelar16f80m4tzxfrv8tae3tg94vclkjavt6zm598mrf,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,2000000,uaxl,null,null,0
4937368,11/26/2022,6BEE1A3D988CE3E7477EB185B4C21148E81345E2588C9AC123BC6E9ADE895B87,TRUE,axelar1a7a76h5udxx59z56ls647n25qtpnm2m2ek7s5t,delegate,axelar1a7a76h5udxx59z56ls647n25qtpnm2m2ek7s5t,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,100000000,uaxl,null,null,0
4940865,11/26/2022,0B006CF6219D3C7AF909ECA7EDD4D231932C6E3652630C8F62D785E97F28871F,TRUE,axelar1856mterrqagdj3w38u2zrg93849v0ey3kc7mzh,delegate,axelar1856mterrqagdj3w38u2zrg93849v0ey3kc7mzh,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,25100000,uaxl,null,null,0
